"tag","ja","aliases"
"1boy","男の子,男,少年,男の娘,長髪男子,男子","男の子,男,少年,男の娘,長髪男子,男子"
"1girl","女の子,女性,少女,おんなのこ,女子,女,ガール,ガールズイラスト","女の子,女性,少女,おんなのこ,女子,女,ガール,ガールズイラスト"
"ahoge","アホ毛","アホ毛"
"animal_ears","獣娘,獣耳,けもみみ,ケモミミ,けものみみ,ケモ耳","獣娘,獣耳,けもみみ,ケモミミ,けものみみ,ケモ耳"
"ass","お尻,尻,尻神様,極上の尻,おしり,ねじ込みたい尻,巨尻,顔を埋めたい尻,魅惑の尻,撫で回したい尻,椅子尻,いいおしりの日,かわいいおしり,爆尻,生尻,プリケツ,撫で回したいお尻,けつね,揉みしだきたい尻","お尻,尻,尻神様,極上の尻,おしり,ねじ込みたい尻,巨尻,顔を埋めたい尻,魅惑の尻,撫で回したい尻,椅子尻,いいおしりの日,かわいいおしり,爆尻,生尻,プリケツ,撫で回したいお尻,けつね,揉みしだきたい尻"
"bare_shoulders","肩出し,ベアトップ,肩","肩出し,ベアトップ,肩"
"bikini","ビキニ,ビキニ水着,エロビキニ,剥ぎ取りたいビキニ","ビキニ,ビキニ水着,エロビキニ,剥ぎ取りたいビキニ"
"black_hair","黒髪,黒髪ロング,黒髪ショート,黒髪ボブ,黒髪赤眼","黒髪,黒髪ロング,黒髪ショート,黒髪ボブ,黒髪赤眼"
"blonde_hair","金髪,金髪碧眼,金髪ロング,金髪ツインテール,ブロンド","金髪,金髪碧眼,金髪ロング,金髪ツインテール,ブロンド"
"blue_eyes","碧眼,青い目,金髪碧眼,銀髪碧眼","碧眼,青い目,金髪碧眼,銀髪碧眼"
"blue_hair","青髪,青い髪,水色髪","青髪,青い髪,水色髪"
"blush","赤面,頬染め,紅潮","赤面,頬染め,紅潮"
"braid","三つ編み,みつあみ","三つ編み,みつあみ"
"breasts","おっぱい,極上の乳,大艦巨乳主義,オッパイ,美乳,おっぱいがいっぱい,乳神様,天乳,胸,胸がぱんぱかぱーん,九九艦爆乳,ダイヤモンドバスト,このおっぱいで聖女は無理でしょ,乳,いいおっぱいの日,乳房,着衣巨乳","おっぱい,極上の乳,大艦巨乳主義,オッパイ,美乳,おっぱいがいっぱい,乳神様,天乳,胸,胸がぱんぱかぱーん,九九艦爆乳,ダイヤモンドバスト,このおっぱいで聖女は無理でしょ,乳,いいおっぱいの日,乳房,着衣巨乳"
"brown_eyes","茶目","茶目"
"brown_hair","茶髪,茶髪ロング","茶髪,茶髪ロング"
"cleavage","胸の谷間,魅惑の谷間,けしからん谷間,挟まれたい谷間,乳溝,谷間","胸の谷間,魅惑の谷間,けしからん谷間,挟まれたい谷間,乳溝,谷間"
"closed_eyes","瞑目","瞑目"
"collarbone","鎖骨","鎖骨"
"comic","漫画,マンガ","漫画,マンガ"
"commentary_request","キャプション芸","キャプション芸"
"dress","ドレス,ワンピース,ワンピース服,ワンピ","ドレス,ワンピース,ワンピース服,ワンピ"
"earrings","イヤリング,耳飾り,耳飾","イヤリング,耳飾り,耳飾"
"flower","花,はな,フラワー","花,はな,フラワー"
"full_body","全身,全身絵","全身,全身絵"
"gloves","手袋,裸手袋,手袋コキ,てぶくろ,手套","手袋,裸手袋,手袋コキ,てぶくろ,手套"
"green_eyes","翠眼,緑眼,緑目","翠眼,緑眼,緑目"
"greyscale","白黒","白黒"
"grey_hair","白髪,銀髪,銀髪ロング","白髪,銀髪,銀髪ロング"
"hair_ornament","髪飾り","髪飾り"
"hat","帽子,裸帽子","帽子,裸帽子"
"heart","ハート,ハート形","ハート,ハート形"
"hetero","男女カプ,イナゴ男女カプ,ヘテロ,男の娘×女の子,異性愛","男女カプ,イナゴ男女カプ,ヘテロ,男の娘×女の子,異性愛"
"jacket","ジャケット","ジャケット"
"jewelry","ジュエリー,宝飾品,アクセサリー","ジュエリー,宝飾品,アクセサリー"
"kantai_collection","艦これ,艦隊これくしょん,艦コレ,艦娘,艦Colle,艦隊Collection,私服艦娘,下着艦娘,水着艦娘,艦これ集合絵,シンスイカッコカリ,艦ショタ,北斗の艦,ア艦これ","艦これ,艦隊これくしょん,艦コレ,艦娘,艦Colle,艦隊Collection,私服艦娘,下着艦娘,水着艦娘,艦これ集合絵,シンスイカッコカリ,艦ショタ,北斗の艦,ア艦これ"
"large_breasts","巨乳,美巨乳,大きな乳房,豊乳,着衣巨乳,デカァァァァァいッ説明不要!!,巨乳化,圧倒的胸囲","巨乳,美巨乳,大きな乳房,豊乳,着衣巨乳,デカァァァァァいッ説明不要!!,巨乳化,圧倒的胸囲"
"long_hair","ロングヘアー,長髪,ロングヘア,黒髪ロング,金髪ロング,長髪けもフレ,茶髪ロング,長い髪,長髪男子,銀髪ロング","ロングヘアー,長髪,ロングヘア,黒髪ロング,金髪ロング,長髪けもフレ,茶髪ロング,長い髪,長髪男子,銀髪ロング"
"long_sleeves","長袖","長袖"
"looking_at_viewer","カメラ目線","カメラ目線"
"male_focus","男の子,少年,男性,男子","男の子,少年,男性,男子"
"medium_breasts","普通乳,普乳","普通乳,普乳"
"monochrome","モノクロ,モノクロ画","モノクロ,モノクロ画"
"multicolored_hair","多色髪","多色髪"
"multiple_girls","全裸群像","全裸群像"
"navel","へそ,臍,おへそ,へそ出し,へそチラ,指を突っ込みたいへそ","へそ,臍,おへそ,へそ出し,へそチラ,指を突っ込みたいへそ"
"nipples","乳首","乳首"
"open_mouth","開口,開いた口","開口,開いた口"
"original","オリジナル,創作,看板娘,看板息子,自キャラ,オリキャラ,オリジナル艦娘,オリ刀剣,うちの子,うちの娘,オリジナルキャラクター,自作キャラ,オリジナルフレンズ,オリフレ,原画,オリジナルキャラ,一次創作,創作男女,オリロボ,オリジナルウマ娘,オリソニ,オリメカ,オリジナルイラスト,オリキャラ愛の会,ウチの子,自キャラクター","オリジナル,創作,看板娘,看板息子,自キャラ,オリキャラ,オリジナル艦娘,オリ刀剣,うちの子,うちの娘,オリジナルキャラクター,自作キャラ,オリジナルフレンズ,オリフレ,原画,オリジナルキャラ,一次創作,創作男女,オリロボ,オリジナルウマ娘,オリソニ,オリメカ,オリジナルイラスト,オリキャラ愛の会,ウチの子,自キャラクター"
"outdoors","野外,青姦,野外緊縛,室外","野外,青姦,野外緊縛,室外"
"panties","パンティー,パンティ,パンツ,ぱんつ,高品質パンツ,お子様パンツ,剥ぎ取りたいパンツ,嫌パン,こどもぱんつ,女児ぱんつ","パンティー,パンティ,パンツ,ぱんつ,高品質パンツ,お子様パンツ,剥ぎ取りたいパンツ,嫌パン,こどもぱんつ,女児ぱんつ"
"pantyhose","タイツ,黒タイツ,黒パンスト,白タイツ,ストッキング,パンスト,パンティストッキング,タイツの日,ストッキングの日","タイツ,黒タイツ,黒パンスト,白タイツ,ストッキング,パンスト,パンティストッキング,タイツの日,ストッキングの日"
"photoshop_(medium)","ホトショ","ホトショ"
"pink_hair","ピンク髪,ピンク髪ロング,ピンクは淫乱","ピンク髪,ピンク髪ロング,ピンクは淫乱"
"ponytail","ポニーテール,ポニテ,黒髪ポニーテール","ポニーテール,ポニテ,黒髪ポニーテール"
"purple_eyes","紫目,紫眼","紫目,紫眼"
"purple_hair","紫髪","紫髪"
"red_eyes","赤目,赤眼,赤い目,銀髪赤眼,黒髪赤眼","赤目,赤眼,赤い目,銀髪赤眼,黒髪赤眼"
"ribbon","リボン","リボン"
"school_uniform","学生服,女子高生,学校制服,制服裸足,せいふく,校服","学生服,女子高生,学校制服,制服裸足,せいふく,校服"
"shirt","シャツ,襯衫,上衣","シャツ,襯衫,上衣"
"short_hair","ショートヘア,ショートカット,短髪,黒髪ショート","ショートヘア,ショートカット,短髪,黒髪ショート"
"short_sleeves","半袖","半袖"
"sitting","座る,座り,椅子尻","座る,座り,椅子尻"
"skirt","スカート,裙","スカート,裙"
"smile","笑い,スマイル,笑顔,守りたい、この笑顔,笑,微笑み,微笑,微笑む","笑い,スマイル,笑顔,守りたい、この笑顔,笑,微笑み,微笑,微笑む"
"solo","ソロ","ソロ"
"standing","立つ,立ち絵","立つ,立ち絵"
"sweat","汗,汗だく","汗,汗だく"
"swimsuit","水着,エロ水着,水着艦娘,剥ぎ取りたい水着","水着,エロ水着,水着艦娘,剥ぎ取りたい水着"
"tail","しっぽ,尻尾,もふりたい尻尾","しっぽ,尻尾,もふりたい尻尾"
"thighhighs","ニーソックス,ニーソ,ニーハイソックス,ニーハイ,サイハイソックス","ニーソックス,ニーソ,ニーハイソックス,ニーハイ,サイハイソックス"
"thighs","太もも,ふともも,魅惑のふともも,魅惑の太もも,ふとももの罠,腿,極上のふともも,極上の太もも,撫で回したい太腿,大腿","太もも,ふともも,魅惑のふともも,魅惑の太もも,ふとももの罠,腿,極上のふともも,極上の太もも,撫で回したい太腿,大腿"
"touhou","東方,東方project,東方プロジェクト,東方妖時計,東方MMD,東方うごイラ,東方グラマラス,東方ショタ化,東方好きな人RT,東方黄金水,東方緊縛画,東方モータリゼーション,東方対魔忍","東方,東方project,東方プロジェクト,東方妖時計,東方MMD,東方うごイラ,東方グラマラス,東方ショタ化,東方好きな人RT,東方黄金水,東方緊縛画,東方モータリゼーション,東方対魔忍"
"twintails","ツインテール,いいツインテールの日,ツインテ,金髪ツインテール,2つくくり","ツインテール,いいツインテールの日,ツインテ,金髪ツインテール,2つくくり"
"underwear","下着,肌着,下着艦娘","下着,肌着,下着艦娘"
"upper_body","上半身","上半身"
"very_long_hair","超ロングヘア","超ロングヘア"
"weapon","武器,兵器","武器,兵器"
"white_background","白背景","白背景"
"white_hair","白髪","白髪"
"white_shirt","白いシャツ","白いシャツ"
"yellow_eyes","黄色眼,黄色目,黄眼,金眼,金目","黄色眼,黄色目,黄眼,金眼,金目"
":<","への字口","への字口"
":3","猫口","猫口"
":o","Oの字口","Oの字口"
"?","きょとんハテナ","きょとんハテナ"
